,City,jpin,title,category_name,status,Exact title,ID,
29,Chennai,JPIN-1304473939,"Brooke Bond 3 Roses, 500g Box",Tea and Coffee,pending,3 Roses  Dust Tea 500 g,30,3 Roses Dust Tea 500 g
30,Chennai,JPIN-1304478427,"Brooke Bond 3 Roses, 50g Box",Tea and Coffee,pending,3 Roses  Dust Tea 50 g,31,3 Roses  Dust Tea 50 g
31,Chennai,JPIN-1304472106,"Brooke Bond 3 Roses, 7g Sachet",Tea and Coffee,pending,3 Roses  Dust Tea 9.5 g,32,3 Roses Dust Tea 9.5 g
32,Chennai,JPIN-1304472115,"Brooke Bond 3 Roses, Natural Care, 100g Box",Tea and Coffee,pending,3 Roses Natural Care Dust Tea 100 g,33,3 Roses Natural Care Dust Tea 100 g
33,Chennai,JPIN-1304473953,"Brooke Bond Taj Mahal, 100g Box",Tea and Coffee,pending,Taj Mahal Tea 100 g,34,Taj Mahal Tea 100 g
34,Chennai,JPIN-1304473952,"Brooke Bond Taj Mahal, 250g Box",Tea and Coffee,pending,Taj Mahal Tea 250 g,35,Taj Mahal Tea 250 g
35,Chennai,JPIN-1304477138,"Bru Green Label Coffee, 500g Standup Pouch",Tea and Coffee,pending,Bru Roast & Ground Filter Coffee 500 g,36,BRU Roast & Ground Filter Coffee 500 g
36,Chennai,JPIN-1304472874,"Bru Instant Coffee, 11g Sachet",Tea and Coffee,pending,Bru Instant Coffee 8.5 g,37,Bru Instant Coffee 8.5 g
37,Chennai,JPIN-1304472092,"Bru Instant Coffee, 2.2g Sachet",Tea and Coffee,pending,Bru Instant Coffee 2.2 g,38,Bru Instant Coffee Sachet 2.6 g
38,Chennai,JPIN-1304472145,"Bru Instant Coffee, 5.5g Sachet",Tea and Coffee,pending,Bru Instant Coffee 5.5 g,39,Bru Instant Coffee Sachet 4.7 g
39,Chennai,JPIN-1304473081,"Cadbury Oreo Original, 46.3g Pack","Biscuit, Confectionary & Snacks",pending,Cadbury Oreo Original 46.3 g,40,Cadbury Oreo Original 46.3 g
40,Chennai,JPIN-1304477659,"Cadbury Oreo Strawberry Creme, 120g Pack","Biscuit, Confectionary & Snacks",pending,Cadbury Oreo Strawberry Creme 120 g P,41,Cadbury Oreo Strawberry Creme 120 g P
41,Chennai,JPIN-1304474744,"Chandrika Ayurvedic Bathing Bar, 75g Box",Personal Care,pending,Chandrika Ayurvedic Handmade Soap 75 g,42,Chandrika Ayurvedic Handmade Soap 75 g
42,Chennai,JPIN-1304368010,"Chik Hairfall Prevent Shampoo, Egg White, 7ml Sachet",Personal Care,pending,"Chik Hairfall Prevent Shampoo, Egg White, 7ml Sachet",43,Chik Protein Solutions Hairfall Prevent Egg White Shampoo 6 ml
186,Chennai,JPIN-1304474637,"Chik Thick & Glossy Shampoo, Black, 5ml Sachet",Personal Care,pending,Chik Thick & Shiny Protein Solutions Black Shampoo 6 ml,187,"Chik Thick & Glossy Shampoo, Black, 5ml Sachet"
188,Chennai,JPIN-1304475991,"Cinthol Original Bathing Bar, 100g Pack",Personal Care,pending,Cinthol Original Deodorant & Complexion Soap 100 g,189,Cinthol Original Deo & Complexion Soap 100 g (Pack of 4)
43,Chennai,JPIN-1304368318,"Cinthol Original Bathing Bar, 40g Pack",Personal Care,pending,Cinthol Original Deo & Complexion Soap   35 g,44,Cinthol Original Deo & Complexion Soap 35 g
